indice_tiempo,serie_original,serie_desestacionalizada,serie_tendencia_ciclo
2020-02-01,105.96615315429496,118.098134889311,108.465789511615
2020-03-01,98.85080173419037,95.7004804859468,106.552145616037
2020-04-01,80.3695831755266,78.5325765735512,105.381251501374
2020-05-01,93.39727057897797,94.5027312590862,105.230010846618
2020-06-01,107.68552518388505,106.220715562621,106.16369097544
2020-07-01,116.4396784123465,109.538828601406,108.091030966178
2020-08-01,116.62865541586976,112.297378071472,110.74141899525
2020-09-01,120.98271248501304,114.598145431401,113.722972598062
2020-10-01,124.93316804669958,117.268797186298,116.676611259778
2020-11-01,121.63746716478752,121.417090599451,119.325124311126
2020-12-01,115.3045653308336,119.840216672653,121.497978616286
2021-01-01,111.77271865397569,128.625500416159,123.163355947562
2021-02-01,107.75378473233181,124.366811550517,124.37391096985
2021-03-01,131.64720668610988,125.650628557402,125.193351339949
2021-04-01,125.52085964453052,122.79215752377,125.688001565571
2021-05-01,121.68405865362826,122.705691214804,125.936497578013
2021-06-01,128.59837307531353,126.652944345224,126.057040480525
2021-07-01,131.05026656085312,126.466025523522,126.144657494411
2021-08-01,132.9987929128236,125.206708545478,126.297927670425
2021-09-01,132.80407745438578,126.612672781594,126.638550491892
2021-10-01,130.03163702788962,126.261346263364,127.245992487956
2021-11-01,133.5955966896043,129.683203705429,128.122797217471
2021-12-01,127.32258878895958,131.444098651182,129.246061934172
2022-01-01,110.45223892022884,126.809967349084,130.506968965069
2022-02-01,116.86553670599886,133.045923818907,131.754773638956
2022-03-01,136.06417977063688,130.480627336759,132.837187401084
2022-04-01,131.11057688323166,131.20250632463,133.610134408607
2022-05-01,135.95623391042966,133.965092462977,133.960149179174
2022-06-01,137.74172355073372,136.058282065031,133.810428239465
2022-07-01,137.83236809148204,136.806300971571,133.2189697744
2022-08-01,142.69539492532036,132.234144171887,132.394571010603
2022-09-01,137.89850280383965,130.62940342736,131.601955623492
2022-10-01,133.92179942776679,130.030712375917,131.085208992227
2022-11-01,134.14810212988814,129.60056204707,130.998713370763
2022-12-01,123.35551311628166,130.292348435682,131.349794563598
2023-01-01,117.35959829400518,130.627189526285,131.994214791469
2023-02-01,114.97961805150167,130.313277934406,132.710252821654
2023-03-01,140.60284318567005,134.655177778187,133.228026144349
2023-04-01,133.35350382480027,137.213309714711,133.334086310987
2023-05-01,137.3370382911086,132.630897334114,132.923155912107
2023-06-01,134.27318455353014,131.759327944045,132.006684368606
2023-07-01,132.37164756745275,131.110346916188,130.653652211881
2023-08-01,138.3630070813502,127.88193270659,128.892911118035
2023-09-01,133.61988928272442,128.946275763072,126.761102570375
2023-10-01,133.0091904493393,126.305634607651,124.322019303547
2023-11-01,127.5781512965671,123.454538664535,121.679348763059
2023-12-01,107.40382708053018,117.462927459109,118.974170625792
2024-01-01,102.98323083293734,113.221376662694,116.432396366408
2024-02-01,103.75102024796449,113.755438411302,114.345334526067
2024-03-01,110.46572537113644,110.691059500627,112.983776285245
2024-04-01,111.2965219356007,109.747471465533,112.522485022116
2024-05-01,116.71976927266223,111.552530391034,112.947884661352
2024-06-01,107.09903168407163,111.066180153725,114.110403986046
2024-07-01,125.0796687823528,118.693625449482,115.756510382149
2024-08-01,128.73308622570693,120.590835285477,117.572961295417
2024-09-01,125.23673630937817,122.010620991699,119.252751952026
2024-10-01,130.31068482170923,121.406940060111,120.554633782511
2024-11-01,125.39541977505476,123.250204130523,121.373782766293
2024-12-01,116.72631144153107,123.490553860528,121.736290688276
2025-01-01,110.69834791845842,120.725812244462,121.736907009961
2025-02-01,109.98796727193981,123.758738760901,121.448846856248
2025-03-01,116.26302218891297,116.533214726458,120.965776013469
2025-04-01,121.5057903538734,119.470190452122,120.378136735102
2025-05-01,124.03478105720555,121.222441279605,119.74146355334
2025-06-01,117.48117186410737,119.157635818455,119.086950316766
2025-07-01,124.22300570562876,118.325110977461,118.414110425673
2025-08-01,123.32131738437457,118.702694983671,117.767137354284
2025-09-01,124.89984718005788,118.17573257204,117.216472979646
2025-10-01,126.71079320832831,117.301418352976,116.829454916713
2025-11-01,114.41216425620597,116.092376338993,116.660717033899
2025-12-01,112.01647900248102,116.16932818986,116.726215534317
2026-01-01,106.50975135099928,118.792222164537,116.961777156943
2026-02-01,100.29693181547239,114.911930582301,117.243875142392
2026-03-01,122.14879019872029,119.419826532926,117.39747839767
2026-04-01,118.60972695256136,117.228171121983,117.250853624266
2026-05-01,116.97954722246858,117.422861268238,116.744254280412
2026-06-01,119.95209240435886,118.201991416449,115.909362946327
2026-07-01,118.1646866095709,112.306188977958,114.886104325012
