fecha,alimentos,petro_quim,resto,ng_original
2019-02-01,121.42717088361483,115.10074213632718,98.09724666581492,106.67393616491124
2019-03-01,130.64714488314834,127.95073629237295,110.57560298078974,118.4180246331019
2019-04-01,134.42458181488936,128.18161454310516,112.26604796944676,120.37257298567556
2019-05-01,142.717594025304,132.5795143420146,117.9534045268479,126.4796126149704
2019-06-01,133.64666936246317,115.12783404612215,106.93542289665126,114.85187278421954
2019-07-01,149.35142869627148,118.04563001048349,116.1622824532741,124.5982566919682
2019-08-01,151.0965112904712,120.8175687355485,116.44105201824985,125.6565333781152
2019-09-01,136.2683798181795,116.79235440128284,108.45868256410421,116.66765831856677
2019-10-01,149.4223891940168,134.5599152164875,118.16465753875973,128.57781819763605
2019-11-01,132.22617897982343,128.8022560862256,106.31793624904502,116.4504456095095
2019-12-01,134.60980174100263,119.89046960487694,95.523614201656315,109.19722086584407
2020-01-01,135.14458755144926,128.99299164953163,88.878934133544,106.96676586826234
2020-02-01,128.5947259997465,119.33809430384778,92.68259948221524,105.96615315429496
2020-03-01,128.6580919307722,122.5863088470365,79.59165276942332,98.85080173419036
2020-04-01,133.769283706194,108.2384325469587,50.083479316510285,80.3695831755266
2020-05-01,135.78331991993463,113.89733695965425,69.82407099858904,93.39727057897797
2020-06-01,140.70120790119668,119.38903614643297,90.55087014956436,107.68552518388503
2020-07-01,148.4514457539955,128.7075170175695,99.56124430336425,116.4396784123465
2020-08-01,144.03787808419085,127.82634856785305,101.97733173921428,116.62865541586976
2020-09-01,145.26513332768457,126.89943573539439,109.15485189384047,120.98271248501304
2020-10-01,146.05757921304874,127.72740350290843,115.32065881332584,124.93316804669958
2020-11-01,138.4144496953882,127.64030929640016,112.9144366860948,121.63746716478752
2020-12-01,127.76929107064244,123.29038347788253,107.80903512425485,115.3045653308336
2021-01-01,137.57433212438934,125.33478105336361,97.11136374794113,111.77271865397567
2021-02-01,130.0444462580827,113.39906553012769,96.83455662481965,107.7537847323318
2021-03-01,150.5219234522121,136.94817436522118,122.25143603281533,131.64720668610988
2021-04-01,143.52364647290867,132.66029325260803,115.95962873545317,125.52085964453052
2021-05-01,141.01851678197335,133.52611624265208,110.21432155983274,121.68405865362826
2021-06-01,149.45064483240066,133.9499193206392,118.36344863277267,128.59837307531353
2021-07-01,152.33239169937622,137.83194300090804,120.2245679724385,131.05026656085312
2021-08-01,155.33312403939058,137.2865880867716,122.45198551609552,132.9987929128236
2021-09-01,152.8250100921924,136.1217050480884,123.50108451025945,132.80407745438578
2021-10-01,145.28261800593506,136.27476129819615,121.87577387743333,130.03163702788962
2021-11-01,148.90185302379865,142.5331692507094,124.64133049857384,133.5955966896043
